ID,Name,Age,Nationality,Overall,Club,Value,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Position
209658,L. Goretzka,27,Germany,87,FC Bayern München,91M,Right,4,4,3,High/ Medium,SUB
212198,Bruno Fernandes,27,Portugal,86,Manchester United,78.5M,Right,3,3,4,High/ High,LCM
224334,M. Acuña,30,Argentina,85,Sevilla FC,46.5M,Left,2,3,3,High/ High,LB
192985,K. De Bruyne,31,Belgium,91,Manchester City,107.5M,Right,4,5,4,High/ High,RCM
224232,N. Barella,25,Italy,86,Inter,89.5M,Right,3,3,3,High/ High,RCM
212622,J. Kimmich,27,Germany,89,FC Bayern München,105.5M,Right,4,4,3,High/ Medium,RDM
197445,D. Alaba,30,Austria,86,Real Madrid CF,55.5M,Left,4,4,3,Medium/ Medium,LCB
187961,22 Paulinho,32,Brazil,83,Al Ahli,28.5M,Right,3,4,4,High/ High,LCM
208333,E. Can,28,Germany,82,Borussia Dortmund,30.5M,Right,3,4,3,Medium/ High,SUB
210514,João Cancelo,28,Portugal,88,Manchester City,82.5M,Right,3,4,4,High/ Medium,LB
228251,L. Pellegrini,26,Italy,84,Roma,55M,Right,2,4,3,High/ High,RCM
177003,L. Modrić,36,Croatia,88,Real Madrid CF,29M,Right,4,4,4,Medium/ Medium,RCM
223848,S. Milinković-Savić,27,Serbia,86,Lazio,77.5M,Right,3,5,4,High/ Medium,RCM
225193,Merino,26,Spain,83,Real Sociedad,47M,Left,1,3,3,High/ High,LCM
226161,Marcos Llorente,27,Spain,84,Atlético de Madrid,48M,Right,3,4,3,High/ Medium,RCM
212616,R. De Paul,28,Argentina,84,Atlético de Madrid,42M,Right,1,3,4,High/ Medium,SUB
181458,"I. Perišić",33,Croatia,84,Tottenham Hotspur,26.5M,Right,3,5,4,High/ Medium,SUB
228702,F. de Jong,25,Netherlands,87,FC Barcelona,116.5M,Right,3,3,4,High/ Medium,RCM
194765,A. Griezmann,31,France,83,Atlético de Madrid,30.5M,Left,4,3,4,Medium/ Medium,RS
193082,J. Cuadrado,34,Colombia,83,Juventus,13.5M,Right,3,3,5,High/ Medium,RB
208574,F. Kostić,29,Serbia,85,Eintracht Frankfurt,53M,Left,3,2,3,High/ High,LM
231281,T. Alexander-Arnold,23,England,87,Liverpool,100.5M,Right,3,4,3,High/ Medium,RB
176580,"L. Suárez",35,Uruguay,84,Club Nacional de Football,18M,Right,4,4,3,High/ Medium,LS
235212,A. Hakimi,23,Morocco,84,Paris Saint-Germain,53.5M,Right,2,4,4,High/ Medium,RWB
216352,M. Brozović,29,Croatia,86,Inter,58M,Right,3,4,3,Medium/ Medium,CDM
209331,M. Salah,30,Egypt,90,Liverpool,115.5M,Left,4,3,4,High/ Medium,RW
241096,S. Tonali,22,Italy,84,AC Milan,62.5M,Right,1,4,3,Medium/ High,RCM
189509,Thiago,31,Spain,86,Liverpool,55.5M,Right,3,3,5,Medium/ Medium,LCM
238074,R. James,22,England,84,Chelsea,57M,Right,2,3,3,High/ Medium,RWB
189332,Jordi Alba,33,Spain,85,FC Barcelona,28M,Left,3,3,3,High/ Medium,LB
213565,T. Lemar,26,France,83,Atlético de Madrid,47M,Left,3,3,4,High/ High,SUB
230767,Renato Sanches,24,Portugal,80,Paris Saint-Germain,33M,Right,3,4,4,High/ High,SUB
190286,Canales,31,Spain,84,Real Betis Balompié,35M,Left,2,3,4,High/ Medium,RM
226754,I. Bennacer,24,Algeria,82,AC Milan,40M,Left,2,3,4,High/ Medium,LCM
212462,Alex Telles,29,Brazil,80,Sevilla FC,18.5M,Left,3,2,3,High/ Low,SUB
231969,R. Malinovskyi,29,Ukraine,82,Atalanta,30.5M,Left,3,4,4,Medium/ Medium,LF
238744,W. McKennie,23,United States,80,Juventus,31.5M,Right,2,3,3,High/ High,LCM
200145,Casemiro,30,Brazil,89,Real Madrid CF,86M,Right,3,3,2,Medium/ High,CDM
220651,Angeliño,25,Spain,83,TSG Hoffenheim,42M,Left,2,3,4,High/ High,LWB
230938,F. Kessié,25,Côte d'Ivoire,84,FC Barcelona,47.5M,Right,3,4,3,High/ High,SUB
200458,L. Digne,28,France,82,Aston Villa,27.5M,Left,2,2,3,High/ Medium,LB
188545,R. Lewandowski,33,Poland,91,FC Barcelona,84M,Right,5,4,4,High/ Medium,ST
181872,22 A. Vidal,34,Chile,81,Inter,12M,Right,4,4,3,High/ High,SUB
240699,N. De la Cruz,25,Uruguay,78,River Plate,16.5M,Right,1,4,4,High/ High,RM
232411,C. Nkunku,24,France,86,RB Leipzig,94M,Right,3,3,5,High/ Medium,SUB
188377,K. Walker,32,England,85,Manchester City,37.5M,Right,3,2,3,High/ High,RB
232656,"T. Hernández",24,France,85,AC Milan,76M,Left,3,3,3,High/ Medium,LB
186942,İ. Gündoğan,31,Germany,85,Manchester City,44M,Right,3,4,4,High/ Medium,SUB
214097,B. Bourigeaud,28,France,81,Stade Rennais FC,26M,Right,2,3,3,High/ High,RW
223697,R. Gosens,27,Germany,82,Inter,29.5M,Left,3,3,3,High/ Medium,LM
181291,G. Wijnaldum,31,Netherlands,80,Roma,17.5M,Right,3,4,3,High/ High,LCM
219683,C. Tolisso,27,France,81,Olympique Lyonnais,27.5M,Right,3,3,3,High/ Medium,RCM
202126,H. Kane,28,England,89,Tottenham Hotspur,105.5M,Right,4,5,3,High/ High,ST
193747,Koke,30,Spain,83,Atlético de Madrid,34.5M,Right,3,4,3,Medium/ Medium,LCM
195479,J. Tavernier,30,England,78,Rangers FC,12M,Right,1,3,3,High/ Medium,RB
183711,J. Henderson,32,England,83,Liverpool,28.5M,Right,3,3,3,High/ High,RCM
158023,L. Messi,35,Argentina,91,Paris Saint-Germain,54M,Left,5,4,4,Low/ Low,RW
199556,M. Verratti,29,Italy,87,Paris Saint-Germain,77.5M,Right,3,4,4,Medium/ High,RCM
214047,M. Uribe,31,Colombia,81,FC Porto,21M,Right,1,4,3,Medium/ High,RCM
239053,F. Valverde,23,Uruguay,84,Real Madrid CF,66M,Right,1,4,3,High/ High,SUB
208722,S. Mané,30,Senegal,89,FC Bayern München,99.5M,Right,4,4,4,High/ Medium,ST
205632,L. Ocampos,27,Argentina,81,Sevilla FC,27.5M,Right,2,3,4,High/ High,SUB
233927,"Lucas Paquetá",24,Brazil,82,Olympique Lyonnais,46M,Left,2,4,5,High/ High,LCM
202648,Sergi Darder,28,Spain,82,RCD Espanyol de Barcelona,30.5M,Right,1,3,3,Medium/ Medium,CAM
216393,Y. Tielemans,25,Belgium,84,Leicester City,52.5M,Right,2,5,4,Medium/ Medium,RDM
209297,Fred,29,Brazil,80,Manchester United,20.5M,Left,3,3,4,High/ High,CDM
218667,Bernardo Silva,27,Portugal,88,Manchester City,97.5M,Left,2,3,4,High/ High,LCM
210035,Grimaldo,26,Spain,82,SL Benfica,36.5M,Left,3,2,3,High/ Medium,LB
234153,Carlos Soler,25,Spain,83,Valencia CF,53M,Right,2,4,3,Medium/ Medium,LCM
224458,Diogo Jota,25,Portugal,85,Liverpool,76M,Right,2,5,4,High/ High,SUB
252371,J. Bellingham,19,England,84,Borussia Dortmund,81.5M,Right,2,4,4,High/ High,LDM
201455,G. Kondogbia,29,Central African Republic,82,Atlético de Madrid,29.5M,Left,2,3,3,Medium/ High,CDM
186345,K. Trippier,31,England,84,Newcastle United,30.5M,Right,2,4,3,Medium/ Medium,RB
173210,19 C. Marchisio,31,Italy,84,Juventus,19.5M,Right,3,4,3,High/ High,RES
193283,T. Delaney,30,Denmark,81,Sevilla FC,21.5M,Left,2,4,2,Low/ High,SUB
231747,K. Mbappé,23,France,91,Paris Saint-Germain,190.5M,Right,4,4,5,High/ Low,ST
269765,S. Obisanya,22,Nigeria,81,AFC Richmond,52.5M,Right,1,3,3,High/ High,RM
183512,Yuri Berchiche,32,Spain,82,Athletic Club de Bilbao,21M,Left,2,3,3,High/ Medium,LB
193165,J. Corona,29,Mexico,81,Sevilla FC,25.5M,Right,3,5,5,Medium/ Medium,RW
235008,L. Robertone,25,Argentina,76,Unión Deportiva Almería,10.5M,Right,1,4,4,Medium/ High,LCM
204923,M. Sabitzer,28,Austria,80,FC Bayern München,21M,Right,3,4,3,High/ High,SUB
208128,H. Çalhanoğlu,28,Turkey,84,Inter,42M,Right,3,4,4,High/ High,LCM
224293,Rúben Neves,25,Portugal,83,Wolverhampton Wanderers,47.5M,Right,2,4,3,Low/ High,RCM
173030,Ó. Trejo,34,Argentina,79,Rayo Vallecano,8M,Right,1,4,3,High/ Medium,CAM
211748,K. Demirbay,28,Germany,81,Bayer 04 Leverkusen,25.5M,Left,2,4,4,High/ Medium,LDM
209889,R. Guerreiro,28,Portugal,82,Borussia Dortmund,27.5M,Left,3,2,4,High/ Low,LB
234396,A. Davies,21,Canada,84,FC Bayern München,60.5M,Left,3,4,4,High/ Low,LB
172522,D. Wass,33,Denmark,79,Atlético de Madrid,11M,Right,2,3,3,Medium/ Medium,SUB
240679,T. Koopmeiners,24,Netherlands,80,Atalanta,30M,Left,2,2,3,Medium/ Medium,LCM
201519,J. Veretout,29,France,79,Olympique de Marseille,15M,Right,2,3,3,Medium/ Medium,SUB
195864,P. Pogba,29,France,85,Juventus,52.5M,Right,4,4,5,Medium/ Low,RES
146536,Jesús Navas,36,Spain,83,Sevilla FC,8M,Right,2,2,4,High/ Medium,RB
210243,Ricardo Pereira,28,Portugal,83,Leicester City,33M,Right,3,4,3,High/ High,RB
209499,Fabinho,28,Brazil,87,Liverpool,77M,Right,3,2,3,Medium/ High,CDM
208421,Saúl,27,Spain,80,Atlético de Madrid,24M,Left,3,4,3,Medium/ Medium,SUB
231478,L. Martínez,24,Argentina,86,Inter,98.5M,Right,3,4,4,High/ Medium,LS
